,Country,ID,Population,GDP ($ per capita),Area (sq. mi.),Airports number,Continent_Name
171,Slovakia,SVK,5439448,13300.0,48845,8.0,Europe
172,Slovenia,SVN,2010347,19000.0,20273,6.0,Europe
173,Solomon Islands,SLB,552438,1700.0,28450,25.0,Oceania
174,Somalia,SOM,8863338,500.0,637657,13.0,Africa
175,South Africa,ZAF,44187637,10700.0,1219912,102.0,Africa
176,Spain,ESP,40397842,22000.0,504782,84.0,Europe
177,Sri Lanka,LKA,20222240,3700.0,65610,14.0,Asia
178,Sudan,SDN,41236378,1900.0,2505810,20.0,Africa
179,Suriname,SUR,439117,4000.0,163270,22.0,South America
180,Swaziland,SWZ,1136334,4900.0,17363,2.0,Africa
181,Sweden,SWE,9016596,26800.0,449964,158.0,Europe
182,Switzerland,CHE,7523934,32700.0,41290,61.0,Europe
183,Syria,SYR,18881361,3300.0,185180,6.0,Asia
184,Taiwan,TWN,23036087,23400.0,35980,60.0,Asia
185,Tajikistan,TJK,7320815,1000.0,143100,4.0,Asia
186,Tanzania,TZA,37445392,600.0,945087,29.0,Africa
187,Thailand,THA,64631595,7400.0,514000,55.0,Asia
188,Togo,TGO,5548702,1500.0,56785,4.0,Africa
189,Tonga,TON,114689,2200.0,748,6.0,Oceania
190,Tunisia,TUN,10175014,6900.0,163610,13.0,Africa
191,Turkey,TUR,70413958,6700.0,780580,78.0,Europe
192,Turkey,TUR,70413958,6700.0,780580,78.0,Asia
193,Turkmenistan,TKM,5042920,5800.0,488100,6.0,Asia
194,Tuvalu,TUV,11810,1100.0,26,1.0,Oceania
195,Uganda,UGA,28195754,1400.0,236040,14.0,Africa
196,Ukraine,UKR,46710816,5400.0,603700,41.0,Europe
197,United Arab Emirates,ARE,2602713,23200.0,82880,19.0,Asia
198,United Kingdom,GBR,60609153,27700.0,244820,211.0,Europe
199,United States,USA,298444215,37800.0,9631420,2081.0,North America
200,Uruguay,URY,3431932,12800.0,176220,11.0,South America
201,Uzbekistan,UZB,27307134,1700.0,447400,13.0,Asia
202,Vanuatu,VUT,208869,2900.0,12200,29.0,Oceania
203,Venezuela,VEN,25730435,4800.0,912050,59.0,South America
204,Vietnam,VNM,84402966,2500.0,329560,28.0,Asia
205,Virgin Islands,VIR,108605,17200.0,1910,4.0,North America
206,Wallis and Futuna,WLF,16025,3700.0,274,2.0,Oceania
207,West Bank,WBK,2460492,800.0,5860,1.0,
208,Yemen,YEM,21456188,800.0,527970,11.0,Asia
209,Zambia,ZMB,11502010,800.0,752614,14.0,Africa
210,Zimbabwe,ZWE,12236805,1900.0,390580,18.0,Africa
